R,,,,,,
Wavelength,S1 2000rpm,S2 2000rpm,S3 2200rpm,S4 1800rpm,S5 1800rpm,S6 2000rpm
469.931,0.8169603,0.6027117,0.6420367,0.7145521,0.7276014,0.5778543
471.169,0.8301467,0.6192436,0.6509024,0.7188039,0.7108176,0.5580033
472.408,0.8415521,0.6368134,0.6586216,0.722432,0.692661,0.5386407
473.646,0.8510545,0.6502319,0.6659385,0.7233981,0.6720207,0.5160996
474.885,0.8603787,0.6638457,0.671697,0.7260823,0.6489677,0.4927666
476.123,0.8670183,0.6767252,0.6761158,0.7265835,0.6234259,0.4677934
477.362,0.8769431,0.6923767,0.6832423,0.7313696,0.5975301,0.4440858
478.6,0.8842192,0.7043756,0.6880393,0.7325304,0.5688784,0.4186352
479.839,0.8923859,0.71658,0.692618,0.7352574,0.5378422,0.39331
481.077,0.8954977,0.7257438,0.6938362,0.734665,0.5032543,0.3660195
482.316,0.9014986,0.737433,0.6977999,0.7371455,0.4676553,0.3408512
483.554,0.908192,0.7476581,0.7001468,0.7372977,0.4273229,0.3145446
484.793,0.9133592,0.7567445,0.7022655,0.7383641,0.3868504,0.2899143
486.031,0.9141026,0.7622043,0.7019683,0.7371087,0.3483034,0.2692698
487.27,0.9159607,0.7688137,0.7027884,0.7373936,0.3095228,0.2518253
488.508,0.9194911,0.7758753,0.7026854,0.7379509,0.2667651,0.2349982
489.747,0.9227414,0.783394,0.7023863,0.7381292,0.2259688,0.2218829
490.985,0.926216,0.7887113,0.7019787,0.7374764,0.1871374,0.212737
492.224,0.9274075,0.7940669,0.7004296,0.737109,0.1509154,0.2086916
493.462,0.9301611,0.7987772,0.6991349,0.7378946,0.1180959,0.2079771
494.701,0.9311967,0.8022606,0.6957343,0.7362072,0.0881069,0.2115563
495.939,0.9313633,0.80575,0.6922046,0.7346199,0.0663028,0.2201695
497.178,0.9330173,0.8098587,0.6901694,0.7344201,0.0481094,0.2325817
498.416,0.9327729,0.8118318,0.6860262,0.7322736,0.037294,0.2478041
499.655,0.9325516,0.8138626,0.6809168,0.7313421,0.0299532,0.2661724
500.893,0.932014,0.8143087,0.6749741,0.7283496,0.0312578,0.2856116
502.132,0.9321727,0.8176197,0.6702132,0.7268812,0.0367473,0.3082675
503.37,0.9313895,0.817356,0.6639025,0.7239676,0.0473523,0.3300115
504.609,0.927831,0.8155964,0.6559311,0.7205624,0.0625632,0.3526633
505.847,0.9277234,0.8160386,0.6489073,0.7186715,0.0806746,0.3748409
507.086,0.9258695,0.817075,0.6413962,0.7158038,0.1021644,0.3976306
508.324,0.923137,0.8140751,0.6328535,0.7112492,0.1245149,0.4180191
509.563,0.9188225,0.811517,0.6220041,0.706391,0.1496011,0.437974
510.801,0.9139121,0.807644,0.6112276,0.7015114,0.1738963,0.4561263
512.04,0.9128717,0.8080443,0.6017078,0.6989507,0.1986506,0.4752784
513.278,0.9079693,0.8034718,0.5907712,0.6929443,0.2239521,0.4910236
514.517,0.9032645,0.7993866,0.5782639,0.6873475,0.2471509,0.5060565
515.755,0.8963331,0.793173,0.565047,0.6802769,0.2699035,0.5180347
516.994,0.8942085,0.7917843,0.5541188,0.6768409,0.2918822,0.5329529
518.232,0.886327,0.7846865,0.5392625,0.6683125,0.3116579,0.5430454
519.471,0.879556,0.7784758,0.5250809,0.6612215,0.3304619,0.5535924
520.709,0.8726931,0.7710371,0.5110151,0.6531358,0.3477723,0.561563
521.948,0.8646648,0.7651095,0.4964286,0.6458273,0.3632388,0.5697141
523.186,0.8577264,0.7576386,0.4817484,0.6370537,0.3779488,0.5774017
524.425,0.8479272,0.7486231,0.4655229,0.6277055,0.3909058,0.5833996
525.663,0.8384104,0.7385864,0.4498437,0.617141,0.4022309,0.5877906
526.902,0.8259327,0.7288576,0.4338052,0.6068083,0.4118149,0.5919535
528.14,0.8158649,0.717754,0.4185657,0.5957546,0.4209287,0.5956898
529.379,0.8031022,0.7068228,0.4015995,0.5838691,0.4284674,0.5985126
530.617,0.7902469,0.6944749,0.3856233,0.5718393,0.4345684,0.5999868
531.856,0.7752982,0.6819079,0.3704691,0.5585882,0.4393484,0.6014585
533.094,0.7579025,0.6658998,0.3540746,0.5426516,0.4422622,0.6000665
534.333,0.7434848,0.6536178,0.3386277,0.5296775,0.4449656,0.6013133
535.571,0.7250335,0.6374157,0.3227075,0.5134435,0.4464618,0.5984779
536.81,0.706991,0.6232521,0.3089996,0.4980455,0.447246,0.5979142
538.048,0.6876354,0.6068072,0.2952902,0.4804158,0.4465566,0.5952254
539.287,0.6660461,0.5898125,0.2809755,0.463664,0.4442728,0.5924746
540.525,0.64397,0.5729127,0.2675187,0.4448481,0.4414402,0.5883079
541.764,0.6207877,0.5574414,0.2560147,0.4267011,0.4385785,0.5845054
543.002,0.5966508,0.5387561,0.2446744,0.4067212,0.4337873,0.5793553
544.241,0.5703114,0.5197717,0.2330923,0.3864652,0.4276904,0.5733587
545.479,0.5436346,0.5022705,0.2224243,0.3662342,0.4213296,0.5667849
546.724,0.5160135,0.4864878,0.2128367,0.3457442,0.4148706,0.5607078
547.975,0.4871041,0.4679992,0.2035367,0.3238998,0.4064117,0.5523306
549.225,0.4570923,0.4495184,0.1952374,0.3021402,0.3972072,0.5434452
550.475,0.4265414,0.4318014,0.1876515,0.280436,0.3863304,0.5331568
551.725,0.3971265,0.4170859,0.1811153,0.2601335,0.3766648,0.5257921
552.976,0.3660864,0.4000894,0.1753827,0.2384903,0.3654871,0.5147097
554.226,0.3354746,0.3837384,0.1699545,0.2179605,0.3535219,0.5044236
555.476,0.3048575,0.3676201,0.1656962,0.198235,0.3408818,0.4915933
556.727,0.275055,0.3537397,0.1618179,0.1802948,0.3279327,0.4803985
557.977,0.2463312,0.3391392,0.1584528,0.1620997,0.3142898,0.4674608
559.227,0.2187713,0.325185,0.156147,0.1457138,0.3006068,0.455249
